Unique ID	Name
FwdBrBrwHWcPN78TcRCMT	Acción
Wd89Lr6DnQJqzrhQW9TRj	Brazos
6MTGJdkzNnb8hqcWQTLgC	Flecha
qHmjDmN7LDCHJGjKjdMCM	Ataque
mDMr9FKqzmfJdCwNkjRbw	Reacción de ataque
7tJLNpqPWnPgzqhMpdjwz	Aura
6jDWMLHn6jQgr9hKBDT8F	Arco
7HG9GDqGdrtdnTPDgLjRL	Bruto
Bp7wdKfgzKBz88hPDPGm6	Pecho
jTMPmqBz8fWwJdP6W7qff	Garra
NnTDtPCgbNq7GgprgwC7r	Garrote
RPdWRCcPnQ8K7nDwngnmd	Daga
Fpr7Gq7zcGDkdcHjNPr8n	Reacción de defensa
NGBgjq76Q7GHNH9P9nHgM	Equipo
zCCRjbKknh6F9tntDRdLQ	Gema
8HG6FhngNkB8rBT6FTfjw	Genérico
9KRj8FQtKGtLCngNCGMdr	Guardián
pGRgW7zBRLQLC9hT9hwBB	Arma de fuego
HmrBcLmRWhht6dfKC6dNP	Martillo
7hNgDbPfcWLKzdMkpcfKn	Cabeza
b8G7cnjcNcGLktWj8WLDb	Héroe
RGQzKRLNwRbLFK67DpdhH	Instantánea
PbrQDwRQtwNg7KbHKCTQN	Artículo
PPC6QtBhhmGJBCnjfbjBg	Piernas
Bppz9JbPnKhzjMKtNKPDF	Mecanólogo
J8QjfW6zKK89wPpprJncb	Comerciante
GC7qTwCNRhnM89fNqHGRf	Ninja
CK6bh8fzPQnFnn7qMNnhq	Pistola
6JtD7ktRzGL7k9d7W7fbM	Vigilante
zR7c8LwRqgJF6NgmrqHhN	Recurso
bNCJdHthWMNkHGJ8Rc6kP	Filorruna
kK6NKKTFHQnmBJFFpFGgT	Báculo
j8rMtdHFnFhGrcgC8CdnN	Espada
KwNFJtj8Ft7TgmKqPkP9b	Ficha
KQTDHtfnk7r6BGJwNb7Rh	Guerrero
GLtLrRtKJ8HzhBqW8KjJR	Arma
q9GWTdPwD8QQFtwtRTPTj	Hechicero
QPtmrBGhLFbnpFMQznnwH	Joven
rTHPJJPwtDCgDfcwPGQGF	1H
Gww6n8bCkqKpnFDpGRLcP	2H
